Altium Designer Pick and Place Locations
Z:\Documents\Development\SolderingStation\PCB_Controller_V4\SolderingStation_V4 30-Dec-21 12-53-41 AM\Pick Place for SolderingStation.csv

========================================================================================================================
File Design Information:

Date:       30-12-21
Time:       00:53
Revision:   830c036fbc0419164354833fa923da4b737a6de9
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"+3V3","TopLayer","PCBPIN_-_0.9MM","3101.000","1934.016","90"
"+V","TopLayer","PCBPIN_-_0.9MM","2350.000","2002.000","90"
"AC_REF","TopLayer","PCBPIN_-_0.9MM","3940.000","1155.811","90"
"AMP","TopLayer","PCBPIN_-_0.9MM","3204.000","1769.000","0"
"BR1","TopLayer","MB1S","1525.457","2300.055","180"
"BR2","TopLayer","SOLDERBRIDGE(OPEN)","4370.000","2197.750","270"
"C1","TopLayer","CCNP1608-0603_N","2155.512","1150.409","90"
"C2","TopLayer","CCNP1608-0603_N","3673.228","1149.464","90"
"C3","TopLayer","CC2012-0805","1530.457","987.055","90"
"C4","TopLayer","CC2012-0805","1530.457","655.055","270"
"C5","TopLayer","CC2012-0805","3090.457","992.055","90"
"C6","TopLayer","CC2012-0805","3162.457","656.055","270"
"C7","TopLayer","CCNP1608-0603_N","1769.685","1176.000","270"
"C8","TopLayer","CCNP1608-0603_N","3287.402","1176.000","270"
"C9","TopLayer","CCNP1608-0603_N","2643.000","1329.000","180"
"C10","TopLayer","CCNP1608-0603_N","2804.000","1431.000","0"
"C11","TopLayer","CCNP1608-0603_N","2819.000","1628.000","180"
"C12","TopLayer","CCNP1608-0603_N","3307.000","1665.000","180"
"C13","TopLayer","CCNP1608-0603_N","3221.228","1382.142","0"
"C14","TopLayer","CCNP1608-0603_N","2643.000","1387.000","180"
"C15","TopLayer","CCNP1608-0603_N","4514.000","2098.000","270"
"C16","TopLayer","CCNP1608-0603_N","3092.000","1608.000","90"
"C17","TopLayer","CCNP1608-0603_N","1727.000","1581.000","90"
"C18","TopLayer","CCNP1608-0603_N","2520.000","1810.000","180"
"C19","TopLayer","CCNP1608-0603_N","2265.457","1495.055","0"
"C20","TopLayer","CCNP1608-0603_N","4126.000","1442.000","90"
"C21","TopLayer","CCNP2012-0805","2490.457","1990.055","270"
"C22","TopLayer","RB5/10X13MM","1195.457","2050.055","270"
"C23","TopLayer","CCNP2012-0805","3084.000","2060.000","270"
"C24","TopLayer","CCNP1608-0603_N","4486.000","1470.000","270"
"C25","TopLayer","RB5/10X13MM","700.457","2050.055","270"
"C26","TopLayer","CCNP2012-0805","1637.000","2089.000","270"
"C27","TopLayer","CCNP2012-0805","2060.457","2090.055","270"
"C28","TopLayer","CCNP1608-0603_N","4937.000","1446.000","90"
"C29","TopLayer","CCNP1608-0603_N","5294.000","1471.000","270"
"C30","TopLayer","CCNP1608-0603_N","5300.929","1737.142","270"
"C31","TopLayer","CCNP1608-0603_N","5235.929","1802.142","90"
"C32","TopLayer","CCNP1608-0603_N","4685.457","1790.055","90"
"C33","TopLayer","CCNP1608-0603_N","4503.000","1787.000","180"
"C34","TopLayer","CCNP1608-0603_N","4545.945","1982.142","180"
"C35","TopLayer","CCNP1608-0603_N","580.457","1400.055","180"
"C36","TopLayer","CCNP1608-0603_N","576.992","1755.055","180"
"C37","TopLayer","CCNP1608-0603_N","4440.000","2173.000","180"
"C38","TopLayer","CCNP1608-0603_N","3928.000","1739.811","90"
"C39","TopLayer","CCNP1608-0603_N","4441.000","2224.000","180"
"C40","TopLayer","CCNP2012-0805","1503.000","1631.811","90"
"C41","TopLayer","CCNP1608-0603_N","4045.000","2281.811","0"
"C42","TopLayer","CCNP1608-0603_N","2927.000","1830.000","180"
"C43","TopLayer","CCNP1608-0603_N","3429.000","1758.000","90"
"D1","TopLayer","SOD-123FL","1430.457","965.055","90"
"D2","TopLayer","SOD-123FL","1425.457","672.055","270"
"D3","TopLayer","SOD-123FL","2995.457","975.055","90"
"D4","TopLayer","SOD-123FL","3085.000","670.000","270"
"D5","BottomLayer","LED3MM-GREEN_-_10MM_PROUD","1928.173","162.102","0"
"D6","BottomLayer","LED3MM-GREEN_-_10MM_PROUD","3502.976","162.102","0"
"D7","TopLayer","SOT23_N","3488.000","1905.000","90"
"D10","TopLayer","SOD-323","3532.154","1732.102","270"
"D11","TopLayer","SOT23_M","4720.000","1590.000","90"
"D12","TopLayer","SOT23_M","3335.929","2102.142","90"
"D13","TopLayer","SOT23_M","3575.929","2102.142","90"
"D14","BottomLayer","LED3MM-RED_-_10MM_PROUD","3306.126","162.102","0"
"D15","BottomLayer","LED3MM-RED_-_10MM_PROUD","1731.323","162.102","0"
"D1a","TopLayer","PCBPIN_-_0.9MM","3386.000","1285.000","0"
"D2a","TopLayer","PCBPIN_-_0.9MM","1871.000","1289.000","0"
"D1b","TopLayer","PCBPIN_-_0.9MM","3529.000","1284.000","0"
"D2b","TopLayer","PCBPIN_-_0.9MM","2009.000","1289.016","0"
"ER","TopLayer","PCBPIN_-_0.9MM","815.929","567.142","0"
"Gnd","TopLayer","PCBPIN_-_0.9MM","3362.000","1934.016","90"
"H1a","TopLayer","PCBPIN_-_0.9MM","3207.457","950.055","0"
"H2a","TopLayer","PCBPIN_-_0.9MM","1695.457","950.055","0"
"H1b","TopLayer","PCBPIN_-_0.9MM","3207.457","773.055","90"
"H2b","TopLayer","PCBPIN_-_0.9MM","1695.457","758.047","90"
"J1","TopLayer","JST-B3B-XH-AX","2321.874","2307.772","180"
"J2","TopLayer","JST-B4B-XH-AX","3455.929","2307.772","180"
"JLC_Serial_Number1","TopLayer","JLC_SERIAL_NUMBER","0.000","0.000","180"
"L1","TopLayer","FB2012-0805","2911.000","1091.000","270"
"L2","TopLayer","FB2012-0805","1035.457","570.055","0"
"L3","TopLayer","FB2012-0805","1502.000","1865.811","270"
"L4","TopLayer","FB1608-0603","4577.000","2098.000","90"
"L5","TopLayer","FB1608-0603","4560.000","2199.000","180"
"Logo1","TopLayer","OSHW","0.000","0.000","0"
"OC","TopLayer","PCBPIN_-_0.9MM","3660.000","1391.811","0"
"OLED1","BottomLayer","OLED_DISPLAY_128X64_2.4INCH_-_NO_MOUNTING_HOLES","1593.528","1479.740","0"
"P1","TopLayer","MOLEX-43045-0612","1080.929","845.646","0"
"P2","TopLayer","MOLEX-43045-0612","2655.929","845.646","0"
"P3","TopLayer","MOLEX-39544-3003","4012.000","459.000","270"
"P4","TopLayer","HDR1X5S","710.457","1480.055","90"
"P5","TopLayer","SWD-2X5-JIG-HEADER","4329.425","2347.142","0"
"Q1","TopLayer","SO-8_M","1953.016","827.142","90"
"Q2","TopLayer","SO-8_M","3475.457","827.142","90"
"Q3","TopLayer","SOT457_M_-_MIRROR","1875.984","1162.992","90"
"Q4","TopLayer","SOT457_M_-_MIRROR","2057.086","1162.992","90"
"Q5","TopLayer","SOT457_M_-_MIRROR","3393.701","1162.992","90"
"Q6","TopLayer","SOT457_M_-_MIRROR","3574.803","1162.992","90"
"Q7","TopLayer","SOT23_N","2185.000","1664.000","0"
"Q8","TopLayer","SOT23_M","1840.457","1555.055","0"
"Q9","TopLayer","SOT23_M","1980.457","1555.055","0"
"Q10","TopLayer","SOT23_M","1840.457","1685.055","0"
"Q11","TopLayer","SOT23_M","1980.457","1685.055","0"
"Q12","TopLayer","SOT23_N","2994.000","1440.000","270"
"Q13","TopLayer","SOT23_N","2994.000","1284.000","270"
"Q14","TopLayer","SO-8_M","4290.000","1217.441","90"
"Q15","TopLayer","SO-8_M","4691.457","1217.441","270"
"Q16","TopLayer","SO-8_M","5115.000","1217.441","90"
"Q17","TopLayer","SOT457_M_-_MIRROR","4385.000","1456.811","90"
"Q18","TopLayer","SOT457_M_-_MIRROR","5205.000","1456.811","90"
"Q19","TopLayer","SO-8_M","4290.000","817.441","90"
"Q20","TopLayer","SO-8_M","4691.457","817.441","270"
"Q21","TopLayer","SO-8_M","5115.000","817.441","90"
"Q22","TopLayer","SOT457_M_-_MIRROR","4225.000","1456.811","90"
"Q23","TopLayer","SOT457_M_-_MIRROR","5045.000","1456.811","90"
"Q24","TopLayer","SOT23_N","2704.709","1739.598","0"
"Qa","TopLayer","SOT23_M","2503.992","1125.000","180"
"Qb","TopLayer","SOT23_M","2503.992","1261.000","180"
"R1","TopLayer","CR1608-0603_N","2140.457","875.055","270"
"R2","TopLayer","CR1608-0603_N","2140.457","775.055","270"
"R3","TopLayer","CR1608-0603_N","3665.457","870.055","270"
"R4","TopLayer","CR1608-0603_N","3665.457","775.055","270"
"R5","TopLayer","CR1608-0603_N","1950.787","1045.291","0"
"R6","TopLayer","CR1608-0603_N","1950.787","985.055","0"
"R7","TopLayer","CR1608-0603_N","3468.504","1045.291","0"
"R8","TopLayer","CR1608-0603_N","3468.504","985.055","0"
"R9","TopLayer","CR1608-0603_N","1880.929","277.142","90"
"R10","TopLayer","CR1608-0603_N","3455.929","277.142","90"
"R11","TopLayer","CR1608-0603_N","1830.457","1365.055","0"
"R12","TopLayer","CR1608-0603_N","2025.457","1365.055","180"
"R13","TopLayer","CR1608-0603_N","1830.457","1415.055","0"
"R14","TopLayer","CR1608-0603_N","2675.000","1565.000","180"
"R15","TopLayer","CR1608-0603_N","2230.984","1340.055","0"
"R16","TopLayer","CR1608-0603_N","2675.000","1484.000","180"
"R17","TopLayer","CR1608-0603_N","2806.000","1341.000","0"
"R18","TopLayer","CR1608-0603_N","2195.472","1937.000","180"
"R19","TopLayer","OAR3-R050FI","3300.000","535.000","180"
"R20","TopLayer","CR1608-0603_N","2028.000","1432.000","0"
"R21","TopLayer","CR1608-0603_N","2195.472","1755.000","0"
"R23","TopLayer","CR1608-0603_N","3077.000","1812.000","0"
"R24","TopLayer","CR1608-0603_N","1729.000","1733.000","270"
"R26","TopLayer","CR1608-0603_N","3092.929","1497.142","90"
"R27","TopLayer","CR1608-0603_N","2999.000","1600.984","270"
"R28","TopLayer","CR1608-0603_N","3044.000","1600.984","90"
"R29","TopLayer","CR1608-0603_N","3168.000","1665.000","180"
"R30","TopLayer","CR1608-0603_N","2133.457","1565.055","180"
"R31","TopLayer","CR1608-0603_N","2025.000","1800.000","270"
"R32","TopLayer","CR1608-0603_N","2133.000","1504.000","180"
"R33","TopLayer","CR1608-0603_N","1885.000","1802.000","270"
"R34","TopLayer","CR1608-0603_N","2195.472","1800.055","180"
"R35","TopLayer","CR1608-0603_N","2937.000","1600.984","90"
"R36","TopLayer","CR1608-0603_N","2195.472","1845.055","180"
"R37","TopLayer","CR1608-0603_N","2230.984","1433.000","180"
"R38","TopLayer","CR1608-0603_N","2230.984","1388.000","180"
"R39","TopLayer","CR1608-0603_N","3092.756","1351.811","180"
"R40","TopLayer","CR1608-0603_N","4575.000","1025.000","180"
"R41","TopLayer","CR1608-0603_N","5080.000","1056.181","180"
"R42","TopLayer","CR1608-0603_N","4393.000","1347.000","180"
"R43","TopLayer","CR1608-0603_N","5213.000","1347.000","180"
"R44","TopLayer","CR1608-0603_N","4415.000","1015.000","0"
"R45","TopLayer","CR1608-0603_N","5080.000","977.441","180"
"R46","TopLayer","CR1608-0603_N","4292.000","1347.000","0"
"R47","TopLayer","CR1608-0603_N","5111.000","1347.000","0"
"R48","TopLayer","CR1608-0603_N","4020.000","1080.000","180"
"R49","TopLayer","CR1608-0603_N","3940.000","1051.811","90"
"R50","TopLayer","CR1608-0603_N","4546.000","1710.811","90"
"R51","TopLayer","CR1608-0603_N","5235.929","2062.142","90"
"R52","TopLayer","CR1608-0603_N","3480.929","2122.142","90"
"R53","TopLayer","CR1608-0603_N","5280.929","2062.142","90"
"R54","TopLayer","CR1608-0603_N","4445.000","1711.000","90"
"R55","TopLayer","CR1608-0603_N","5447.425","1667.142","0"
"R56","TopLayer","CR1608-0603_N","3430.929","2122.142","90"
"R57","TopLayer","CR1608-0603_N","4494.950","1711.000","90"
"R58","TopLayer","CR1608-0603_N","5447.425","2187.142","180"
"R59","TopLayer","CR1608-0603_N","3255.929","277.142","270"
"R60","TopLayer","CR1608-0603_N","4564.929","1917.142","180"
"R61","TopLayer","CR1608-0603_N","4564.929","1872.142","180"
"R62","TopLayer","CR1608-0603_N","1680.929","277.142","90"
"R63","TopLayer","CR1608-0603_N","585.457","1530.055","0"
"R64","TopLayer","CR1608-0603_N","585.457","1580.055","0"
"R65","TopLayer","CR1608-0603_N","585.457","1630.055","0"
"R66","TopLayer","CR1608-0603_N","585.457","1680.055","180"
"R67","TopLayer","CR1608-0603_N","585.457","1480.055","180"
"R68","TopLayer","CR1608-0603_N","4653.000","2166.000","90"
"R69","TopLayer","CR1608-0603_N","3134.457","2175.055","180"
"R70","TopLayer","CR1608-0603_N","3134.457","2220.055","180"
"R71","TopLayer","CR1608-0603_N","3950.000","2351.811","0"
"R72","TopLayer","CR1608-0603_N","2923.000","1770.000","180"
"Ra","TopLayer","CR1608-0603_N","2394.000","1127.000","270"
"Rb","TopLayer","CR1608-0603_N","2740.157","1119.000","0"
